from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
|1,1|1,1,(|1)+(1|1),(|1)+(1|1),1,1,0,1.0,1.0,0.0,0.000234409
|1,2|1,1,(|1)+(2|1),(|1)+(2|1),1,1,0,1.0,1.0,0.0,0.000198164
|1,3|1,1,(|1)+(3|1),(|1)+(3|1),1,1,0,1.0,1.0,0.0,0.000195365
|1,2*3|1,2,(|1)+(2|1)+(2*3|1),(|1)+(2|1)+(2*3|1),2,2,0,2.0,2.0,0.0,0.000293021
|1,4|1,1,(|1)+(4|1),(|1)+(4|1),1,1,0,1.0,1.0,0.0,0.000187334
|1,5|1,1,(|1)+(5|1),(|1)+(5|1),1,1,0,1.0,1.0,0.0,0.000194764
|1,6|1,1,(|1)+(6|1),(|1)+(6|1),1,1,0,1.0,1.0,0.0,0.000191835
|1,4*6|1,2,(|1)+(4|1)+(4*6|1),(|1)+(4|1)+(4*6|1),2,2,0,2.0,2.0,0.0,0.000310738
|1,7|1,1,(|1)+(7|1),(|1)+(7|1),1,1,0,1.0,1.0,0.0,0.00019305
|1,1*7|1,2,(|1)+(1|1)+(1*7|1),(|1)+(1|1)+(1*7|1),2,2,0,2.0,2.0,0.0,0.000306965
|1,5*7|1,2,(|1)+(5|1)+(5*7|1),(|1)+(5|1)+(5*7|1),2,2,0,2.0,2.0,0.0,0.000315805
|1,1*5*7|1,3,(|1)+(1|1)+(1*5|1)+(1*5*7|1),(|1)+(1|1)+(1*5|1)+(1*5*7|1),3,3,0,3.0,3.0,0.0,0.000511935
|1,4*5*7|1,3,(|1)+(4|1)+(4*5|1)+(4*5*7|1),(|1)+(4|1)+(4*5|1)+(4*5*7|1),3,3,0,3.0,3.0,0.0,0.000507847
|1,1*4*5*7|1,4,(|1)+(1|1)+(1*4|1)+(1*4*5|1)+(1*4*5*7|1),(|1)+(1|1)+(1*4|1)+(1*4*5|1)+(1*4*5*7|1),4,4,0,4.0,4.0,0.0,0.000634679
|1,8|1,1,(|1)+(8|1),(|1)+(8|1),1,1,0,1.0,1.0,0.0,0.000199664
|1,9|1,1,(|1)+(9|1),(|1)+(9|1),1,1,0,1.0,1.0,0.0,0.000184315
|1,1*9|1,2,(|1)+(1|1)+(1*9|1),(|1)+(1|1)+(1*9|1),2,2,0,2.0,2.0,0.0,0.000294027
|1,3*9|1,2,(|1)+(3|1)+(3*9|1),(|1)+(3|1)+(3*9|1),2,2,0,2.0,2.0,0.0,0.000305429
|1,4*9|1,2,(|1)+(4|1)+(4*9|1),(|1)+(4|1)+(4*9|1),2,2,0,2.0,2.0,0.0,0.000303842
|1,5*9|1,2,(|1)+(5|1)+(5*9|1),(|1)+(5|1)+(5*9|1),2,2,0,2.0,2.0,0.0,0.000306965
|1,4*5*9|1,3,(|1)+(4|1)+(4*5|1)+(4*5*9|1),(|1)+(4|1)+(4*5|1)+(4*5*9|1),3,3,0,3.0,3.0,0.0,0.000516484
|1,10|1,1,(|1)+(10|1),(|1)+(10|1),1,1,0,1.0,1.0,0.0,0.000189207
|1,1*10|1,2,(|1)+(1|1)+(1*10|1),(|1)+(1|1)+(1*10|1),2,2,0,2.0,2.0,0.0,0.000301119
|1,2*10|1,2,(|1)+(2|1)+(2*10|1),(|1)+(2|1)+(2*10|1),2,2,0,2.0,2.0,0.0,0.000305929
|1,4*10|1,2,(|1)+(4|1)+(4*10|1),(|1)+(4|1)+(4*10|1),2,2,0,2.0,2.0,0.0,0.000294552
|1,5*10|1,2,(|1)+(5|1)+(5*10|1),(|1)+(5|1)+(5*10|1),2,2,0,2.0,2.0,0.0,0.000299391
