from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
|1,1|1,1,(|1)+(1|1),(|1)+(1|1),1,1,0,1.0,1.0,0.0,4.9337e-5
|1,2|1,1,(|1)+(2|1),(|1)+(2|1),1,1,0,1.0,1.0,0.0,3.9923e-5
|1,1*2|1,2,(|1)+(1|1)+(1*2|1),(|1)+(1|1)+(1*2|1),2,2,0,2.0,2.0,0.0,8.7279e-5
|1,3|1,1,(|1)+(3|1),(|1)+(3|1),1,1,0,1.0,1.0,0.0,3.8076e-5
|1,1*3|1,2,(|1)+(1|1)+(1*3|1),(|1)+(1|1)+(1*3|1),2,2,0,2.0,2.0,0.0,7.1163e-5
|1,2*3|1,2,(|1)+(2|1)+(2*3|1),(|1)+(2|1)+(2*3|1),2,2,0,2.0,2.0,0.0,7.579e-5
|1,1*2*3|1,3,(|1)+(1|1)+(1*2|1)+(1*2*3|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1),3,3,0,3.0,3.0,0.0,9.3808e-5
|1,4|1,1,(|1)+(4|1),(|1)+(4|1),1,1,0,1.0,1.0,0.0,3.306e-5
|1,1*4|1,2,(|1)+(1|1)+(1*4|1),(|1)+(1|1)+(1*4|1),2,2,0,2.0,2.0,0.0,6.8048e-5
|1,2*4|1,2,(|1)+(2|1)+(2*4|1),(|1)+(2|1)+(2*4|1),2,2,0,2.0,2.0,0.0,7.4836e-5
|1,1*2*4|1,3,(|1)+(1|1)+(1*2|1)+(1*2*4|1),(|1)+(1|1)+(1*2|1)+(1*2*4|1),3,3,0,3.0,3.0,0.0,0.000101056
|1,3*4|1,2,(|1)+(3|1)+(3*4|1),(|1)+(3|1)+(3*4|1),2,2,0,2.0,2.0,0.0,7.3472e-5
|1,1*3*4|1,3,(|1)+(1|1)+(1*3|1)+(1*3*4|1),(|1)+(1|1)+(1*3|1)+(1*3*4|1),3,3,0,3.0,3.0,0.0,0.00010322
|1,2*3*4|1,3,(|1)+(2|1)+(2*3|1)+(2*3*4|1),(|1)+(2|1)+(2*3|1)+(2*3*4|1),3,3,0,3.0,3.0,0.0,9.9544e-5
|1,1*2*3*4|1,4,(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*4|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*4|1),4,4,0,4.0,4.0,0.0,0.00016821
|1,5|1,1,(|1)+(5|1),(|1)+(5|1),1,1,0,1.0,1.0,0.0,3.665e-5
|1,1*5|1,2,(|1)+(1|1)+(1*5|1),(|1)+(1|1)+(1*5|1),2,2,0,2.0,2.0,0.0,7.4037e-5
|1,2*5|1,2,(|1)+(2|1)+(2*5|1),(|1)+(2|1)+(2*5|1),2,2,0,2.0,2.0,0.0,6.9083e-5
|1,1*2*5|1,3,(|1)+(1|1)+(1*2|1)+(1*2*5|1),(|1)+(1|1)+(1*2|1)+(1*2*5|1),3,3,0,3.0,3.0,0.0,9.846e-5
|1,3*5|1,2,(|1)+(3|1)+(3*5|1),(|1)+(3|1)+(3*5|1),2,2,0,2.0,2.0,0.0,7.2613e-5
|1,1*3*5|1,3,(|1)+(1|1)+(1*3|1)+(1*3*5|1),(|1)+(1|1)+(1*3|1)+(1*3*5|1),3,3,0,3.0,3.0,0.0,9.9881e-5
|1,2*3*5|1,3,(|1)+(2|1)+(2*3|1)+(2*3*5|1),(|1)+(2|1)+(2*3|1)+(2*3*5|1),3,3,0,3.0,3.0,0.0,0.000108419
|1,1*2*3*5|1,4,(|1)+(1|1)+(1*2|1)+(1*2*5|1)+(1*2*3*5|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*5|1),4,4,0,4.0,4.0,0.0,0.000153203
|1,4*5|1,2,(|1)+(4|1)+(4*5|1),(|1)+(4|1)+(4*5|1),2,2,0,2.0,2.0,0.0,8.0938e-5
|1,1*4*5|1,3,(|1)+(4|1)+(4*5|1)+(1*4*5|1),(|1)+(1|1)+(1*4|1)+(1*4*5|1),3,3,0,3.0,3.0,0.0,0.000101459
|1,2*4*5|1,3,(|1)+(4|1)+(4*5|1)+(2*4*5|1),(|1)+(2|1)+(2*4|1)+(2*4*5|1),3,3,0,3.0,3.0,0.0,0.000111826
|1,1*2*4*5|1,4,(|1)+(1|1)+(1*2|1)+(1*2*4|1)+(1*2*4*5|1),(|1)+(1|1)+(1*2|1)+(1*2*4|1)+(1*2*4*5|1),4,4,0,4.0,4.0,0.0,0.000172397
|1,3*4*5|1,3,(|1)+(4|1)+(4*5|1)+(3*4*5|1),(|1)+(3|1)+(3*4|1)+(3*4*5|1),3,3,0,3.0,3.0,0.0,0.000116267
|1,1*3*4*5|1,4,(|1)+(1|1)+(1*3|1)+(1*3*4|1)+(1*3*4*5|1),(|1)+(1|1)+(1*3|1)+(1*3*4|1)+(1*3*4*5|1),4,4,0,4.0,4.0,0.0,0.000177604
|1,2*3*4*5|1,4,(|1)+(2|1)+(2*3|1)+(2*3*4|1)+(2*3*4*5|1),(|1)+(2|1)+(2*3|1)+(2*3*4|1)+(2*3*4*5|1),4,4,0,4.0,4.0,0.0,0.000182582
|1,1*2*3*4*5|1,5,(|1)+(1|1)+(1*2|1)+(1*2*5|1)+(1*2*3*5|1)+(1*2*3*4*5|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*4|1)+(1*2*3*4*5|1),5,5,0,5.0,5.0,0.0,0.000155367
|1,|2,0,(|1)=(|2),(|1)=(|2),1,1,0,5.0,5.0,0.0,3.2996e-5
|1,1|2,1,(|1)+(1|1)=(1|2),(|1)=(|2)+(1|2),2,2,0,6.0,6.0,0.0,7.7581e-5
|1,2|2,1,(|1)+(2|1)=(2|2),(|1)=(|2)+(2|2),2,2,0,6.0,6.0,0.0,7.3541e-5
|1,3|2,1,(|1)+(3|1)=(3|2),(|1)=(|2)+(3|2),2,2,0,6.0,6.0,0.0,7.1368e-5
|1,4|2,1,(|1)+(4|1)=(4|2),(|1)=(|2)+(4|2),2,2,0,6.0,6.0,0.0,7.7775e-5
|1,3*4|2,2,(|1)=(|2)+(4|2)+(3*4|2),(|1)=(|2)+(3|2)+(3*4|2),3,3,0,7.0,7.0,0.0,0.000126385
|1,5|2,1,(|1)+(5|1)=(5|2),(|1)=(|2)+(5|2),2,2,0,6.0,6.0,0.0,7.1097e-5
|1,2*5|2,2,(|1)=(|2)+(5|2)+(2*5|2),(|1)=(|2)+(2|2)+(2*5|2),3,3,0,7.0,7.0,0.0,0.000122387
|1,|3,0,(|1)=(|2)=(|3),(|1)=(|2)=(|3),2,2,0,10.0,10.0,0.0,5.5168e-5
|1,1|3,1,(|1)+(1|1)=(1|2)=(1|3),(|1)=(|2)=(|3)+(1|3),3,3,0,11.0,11.0,0.0,0.000101289
|1,2|3,1,(|1)+(2|1)=(2|2)=(2|3),(|1)=(|2)=(|3)+(2|3),3,3,0,11.0,11.0,0.0,0.000101529
|1,1*2|3,2,(|1)+(1|1)+(1*2|1)=(1*2|2)=(1*2|3),(|1)=(|2)=(|3)+(1|3)+(1*2|3),4,4,0,12.0,12.0,0.0,0.000157677
|1,3|3,1,(|1)+(3|1)=(3|2)=(3|3),(|1)=(|2)=(|3)+(3|3),3,3,0,11.0,11.0,0.0,0.000101155
|1,1*3|3,2,(|1)=(|2)=(|3)+(3|3)+(1*3|3),(|1)=(|2)=(|3)+(1|3)+(1*3|3),4,4,0,12.0,12.0,0.0,0.000161656
|1,2*3|3,2,(|1)=(|2)=(|3)+(2|3)+(2*3|3),(|1)=(|2)=(|3)+(2|3)+(2*3|3),4,4,0,12.0,12.0,0.0,0.000174103
|1,1*2*3|3,3,(|1)+(3|1)+(2*3|1)=(2*3|2)+(1*2*3|2)=(1*2*3|3),(|1)=(|2)=(|3)+(1|3)+(1*2|3)+(1*2*3|3),5,5,0,13.0,13.0,0.0,0.000295609
|1,4|3,1,(|1)+(4|1)=(4|2)=(4|3),(|1)=(|2)=(|3)+(4|3),3,3,0,11.0,11.0,0.0,0.000115072
|1,1*4|3,2,(|1)=(|2)+(4|2)=(4|3)+(1*4|3),(|1)=(|2)=(|3)+(1|3)+(1*4|3),4,4,0,12.0,12.0,0.0,0.000151297
|1,2*4|3,2,(|1)=(|2)+(4|2)=(4|3)+(2*4|3),(|1)=(|2)=(|3)+(2|3)+(2*4|3),4,4,0,12.0,12.0,0.0,0.000161301
|1,1*2*4|3,3,(|1)+(1|1)+(1*2|1)=(1*2|2)=(1*2|3)+(1*2*4|3),(|1)=(|2)=(|3)+(1|3)+(1*2|3)+(1*2*4|3),5,5,0,13.0,13.0,0.0,0.000287002
|1,3*4|3,2,(|1)=(|2)+(4|2)=(4|3)+(3*4|3),(|1)=(|2)=(|3)+(3|3)+(3*4|3),4,4,0,12.0,12.0,0.0,0.000167048
|1,1*3*4|3,3,(|1)+(3|1)+(3*4|1)=(3*4|2)+(1*3*4|2)=(1*3*4|3),(|1)=(|2)=(|3)+(1|3)+(1*3|3)+(1*3*4|3),5,5,0,13.0,13.0,0.0,0.000289578
|1,2*3*4|3,3,(|1)+(3|1)+(3*4|1)=(3*4|2)+(2*3*4|2)=(2*3*4|3),(|1)=(|2)=(|3)+(2|3)+(2*3|3)+(2*3*4|3),5,5,0,13.0,13.0,0.0,0.000288469
|1,1*2*3*4|3,4,(|1)+(3|1)+(2*3|1)=(2*3|2)+(1*2*3|2)+(1*2*3*4|2)=(1*2*3*4|3),(|1)=(|2)=(|3)+(1|3)+(1*2|3)+(1*2*3|3)+(1*2*3*4|3),6,6,0,14.0,14.0,0.0,0.000320981
|1,5|3,1,(|1)+(5|1)=(5|2)=(5|3),(|1)=(|2)=(|3)+(5|3),3,3,0,11.0,11.0,0.0,0.00010169
|1,1*5|3,2,(|1)=(|2)+(5|2)=(5|3)+(1*5|3),(|1)=(|2)=(|3)+(1|3)+(1*5|3),4,4,0,12.0,12.0,0.0,0.000164437
|1,2*5|3,2,(|1)=(|2)+(5|2)=(5|3)+(2*5|3),(|1)=(|2)=(|3)+(2|3)+(2*5|3),4,4,0,12.0,12.0,0.0,0.000165601
|1,3*5|3,2,(|1)=(|2)+(5|2)=(5|3)+(3*5|3),(|1)=(|2)=(|3)+(3|3)+(3*5|3),4,4,0,12.0,12.0,0.0,0.000170078
|1,1*3*5|3,3,(|1)+(1|1)+(1*3|1)=(1*3|2)+(1*3*5|2)=(1*3*5|3),(|1)=(|2)=(|3)+(1|3)+(1*3|3)+(1*3*5|3),5,5,0,13.0,13.0,0.0,0.000299091
|1,2*3*5|3,3,(|1)+(2|1)+(2*3|1)=(2*3|2)+(2*3*5|2)=(2*3*5|3),(|1)=(|2)=(|3)+(2|3)+(2*3|3)+(2*3*5|3),5,5,0,13.0,13.0,0.0,0.000300325
|1,4*5|3,2,(|1)=(|2)+(5|2)=(5|3)+(4*5|3),(|1)=(|2)=(|3)+(4|3)+(4*5|3),4,4,0,12.0,12.0,0.0,0.000164373
|1,1*4*5|3,3,(|1)+(1|1)=(1|2)=(1|3)+(1*5|3)+(1*4*5|3),(|1)=(|2)=(|3)+(1|3)+(1*4|3)+(1*4*5|3),5,5,0,13.0,13.0,0.0,0.000296681
|1,3*4*5|3,3,(|1)+(3|1)=(3|2)=(3|3)+(3*5|3)+(3*4*5|3),(|1)=(|2)=(|3)+(3|3)+(3*4|3)+(3*4*5|3),5,5,0,13.0,13.0,0.0,0.000295219
|1,1*3*4*5|3,4,(|1)+(1|1)+(1*3|1)+(1*3*4|1)+(1*3*4*5|1)=(1*3*4*5|2)=(1*3*4*5|3),(|1)=(|2)=(|3)+(1|3)+(1*3|3)+(1*3*4|3)+(1*3*4*5|3),6,6,0,14.0,14.0,0.0,0.000356799
