from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
|1,1|1,1,(|1)+(1|1),(|1)+(1|1),1,1,0,1.0,1.0,0.0,5.2306e-5
|1,2|1,1,(|1)+(2|1),(|1)+(2|1),1,1,0,1.0,1.0,0.0,4.3932e-5
|1,1*2|1,2,(|1)+(1|1)+(1*2|1),(|1)+(1|1)+(1*2|1),2,2,0,2.0,2.0,0.0,8.596e-5
|1,3|1,1,(|1)+(3|1),(|1)+(3|1),1,1,0,1.0,1.0,0.0,3.9729e-5
|1,1*3|1,2,(|1)+(1|1)+(1*3|1),(|1)+(1|1)+(1*3|1),2,2,0,2.0,2.0,0.0,7.3789e-5
|1,2*3|1,2,(|1)+(2|1)+(2*3|1),(|1)+(2|1)+(2*3|1),2,2,0,2.0,2.0,0.0,7.848e-5
|1,1*2*3|1,3,(|1)+(1|1)+(1*2|1)+(1*2*3|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1),3,3,0,3.0,3.0,0.0,0.000105493
|1,4|1,1,(|1)+(4|1),(|1)+(4|1),1,1,0,1.0,1.0,0.0,3.4926e-5
|1,1*4|1,2,(|1)+(1|1)+(1*4|1),(|1)+(1|1)+(1*4|1),2,2,0,2.0,2.0,0.0,7.4308e-5
|1,2*4|1,2,(|1)+(2|1)+(2*4|1),(|1)+(2|1)+(2*4|1),2,2,0,2.0,2.0,0.0,7.4766e-5
|1,1*2*4|1,3,(|1)+(1|1)+(1*2|1)+(1*2*4|1),(|1)+(1|1)+(1*2|1)+(1*2*4|1),3,3,0,3.0,3.0,0.0,0.000105199
|1,3*4|1,2,(|1)+(3|1)+(3*4|1),(|1)+(3|1)+(3*4|1),2,2,0,2.0,2.0,0.0,7.8004e-5
|1,1*3*4|1,3,(|1)+(1|1)+(1*3|1)+(1*3*4|1),(|1)+(1|1)+(1*3|1)+(1*3*4|1),3,3,0,3.0,3.0,0.0,0.000104178
|1,2*3*4|1,3,(|1)+(2|1)+(2*3|1)+(2*3*4|1),(|1)+(2|1)+(2*3|1)+(2*3*4|1),3,3,0,3.0,3.0,0.0,9.9646e-5
|1,1*2*3*4|1,4,(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*4|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*4|1),4,4,0,4.0,4.0,0.0,0.000197542
|1,5|1,1,(|1)+(5|1),(|1)+(5|1),1,1,0,1.0,1.0,0.0,3.4759e-5
|1,1*5|1,2,(|1)+(1|1)+(1*5|1),(|1)+(1|1)+(1*5|1),2,2,0,2.0,2.0,0.0,7.4053e-5
|1,2*5|1,2,(|1)+(2|1)+(2*5|1),(|1)+(2|1)+(2*5|1),2,2,0,2.0,2.0,0.0,7.8628e-5
|1,1*2*5|1,3,(|1)+(1|1)+(1*2|1)+(1*2*5|1),(|1)+(1|1)+(1*2|1)+(1*2*5|1),3,3,0,3.0,3.0,0.0,0.000102187
|1,3*5|1,2,(|1)+(3|1)+(3*5|1),(|1)+(3|1)+(3*5|1),2,2,0,2.0,2.0,0.0,7.8021e-5
|1,1*3*5|1,3,(|1)+(1|1)+(1*3|1)+(1*3*5|1),(|1)+(1|1)+(1*3|1)+(1*3*5|1),3,3,0,3.0,3.0,0.0,0.000112236
|1,2*3*5|1,3,(|1)+(2|1)+(2*3|1)+(2*3*5|1),(|1)+(2|1)+(2*3|1)+(2*3*5|1),3,3,0,3.0,3.0,0.0,0.000113443
|1,1*2*3*5|1,4,(|1)+(1|1)+(1*2|1)+(1*2*5|1)+(1*2*3*5|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*5|1),4,4,0,4.0,4.0,0.0,0.000167197
|1,4*5|1,2,(|1)+(4|1)+(4*5|1),(|1)+(4|1)+(4*5|1),2,2,0,2.0,2.0,0.0,7.5388e-5
|1,1*4*5|1,3,(|1)+(4|1)+(4*5|1)+(1*4*5|1),(|1)+(1|1)+(1*4|1)+(1*4*5|1),3,3,0,3.0,3.0,0.0,0.000117707
|1,2*4*5|1,3,(|1)+(4|1)+(4*5|1)+(2*4*5|1),(|1)+(2|1)+(2*4|1)+(2*4*5|1),3,3,0,3.0,3.0,0.0,0.000134502
|1,1*2*4*5|1,4,(|1)+(1|1)+(1*2|1)+(1*2*4|1)+(1*2*4*5|1),(|1)+(1|1)+(1*2|1)+(1*2*4|1)+(1*2*4*5|1),4,4,0,4.0,4.0,0.0,0.000185081
|1,3*4*5|1,3,(|1)+(4|1)+(4*5|1)+(3*4*5|1),(|1)+(3|1)+(3*4|1)+(3*4*5|1),3,3,0,3.0,3.0,0.0,0.000134676
|1,1*3*4*5|1,4,(|1)+(1|1)+(1*3|1)+(1*3*4|1)+(1*3*4*5|1),(|1)+(1|1)+(1*3|1)+(1*3*4|1)+(1*3*4*5|1),4,4,0,4.0,4.0,0.0,0.000192172
|1,2*3*4*5|1,4,(|1)+(2|1)+(2*3|1)+(2*3*4|1)+(2*3*4*5|1),(|1)+(2|1)+(2*3|1)+(2*3*4|1)+(2*3*4*5|1),4,4,0,4.0,4.0,0.0,0.000199594
|1,1*2*3*4*5|1,5,(|1)+(1|1)+(1*2|1)+(1*2*5|1)+(1*2*3*5|1)+(1*2*3*4*5|1),(|1)+(1|1)+(1*2|1)+(1*2*3|1)+(1*2*3*4|1)+(1*2*3*4*5|1),5,5,0,5.0,5.0,0.0,0.000174324
|1,|2,0,(|1)=(|2),(|1)=(|2),1,1,0,5.0,5.0,0.0,3.4663e-5
|1,1|2,1,(|1)+(1|1)=(1|2),(|1)=(|2)+(1|2),2,2,0,6.0,6.0,0.0,7.5479e-5
|1,2|2,1,(|1)+(2|1)=(2|2),(|1)=(|2)+(2|2),2,2,0,6.0,6.0,0.0,8.0845e-5
|1,1*2|2,2,(|1)+(1|1)+(1*2|1)=(1*2|2),(|1)=(|2)+(1|2)+(1*2|2),3,3,0,7.0,7.0,0.0,0.000138637
|1,3|2,1,(|1)+(3|1)=(3|2),(|1)=(|2)+(3|2),2,2,0,6.0,6.0,0.0,8.2458e-5
|1,1*3|2,2,(|1)+(1|1)+(1*3|1)=(1*3|2),(|1)=(|2)+(1|2)+(1*3|2),3,3,0,7.0,7.0,0.0,0.000135721
|1,2*3|2,2,(|1)+(2|1)+(2*3|1)=(2*3|2),(|1)=(|2)+(2|2)+(2*3|2),3,3,0,7.0,7.0,0.0,0.000144584
|1,1*2*3|2,3,(|1)+(1|1)+(1*2|1)=(1*2|2)+(1*2*3|2),(|1)=(|2)+(1|2)+(1*2|2)+(1*2*3|2),4,4,0,8.0,8.0,0.0,0.000184084
|1,4|2,1,(|1)+(4|1)=(4|2),(|1)=(|2)+(4|2),2,2,0,6.0,6.0,0.0,8.0025e-5
|1,1*4|2,2,(|1)=(|2)+(4|2)+(1*4|2),(|1)=(|2)+(1|2)+(1*4|2),3,3,0,7.0,7.0,0.0,0.000144701
|1,2*4|2,2,(|1)=(|2)+(4|2)+(2*4|2),(|1)=(|2)+(2|2)+(2*4|2),3,3,0,7.0,7.0,0.0,0.00013828
|1,1*2*4|2,3,(|1)+(1|1)+(1*2|1)=(1*2|2)+(1*2*4|2),(|1)=(|2)+(1|2)+(1*2|2)+(1*2*4|2),4,4,0,8.0,8.0,0.0,0.000167272
|1,3*4|2,2,(|1)=(|2)+(4|2)+(3*4|2),(|1)=(|2)+(3|2)+(3*4|2),3,3,0,7.0,7.0,0.0,0.000128358
|1,1*3*4|2,3,(|1)=(|2)+(4|2)+(3*4|2)+(1*3*4|2),(|1)=(|2)+(1|2)+(1*3|2)+(1*3*4|2),4,4,0,8.0,8.0,0.0,0.000194987
|1,2*3*4|2,3,(|1)=(|2)+(4|2)+(2*4|2)+(2*3*4|2),(|1)=(|2)+(2|2)+(2*3|2)+(2*3*4|2),4,4,0,8.0,8.0,0.0,0.000195493
|1,1*2*3*4|2,4,(|1)+(1|1)+(1*2|1)=(1*2|2)+(1*2*4|2)+(1*2*3*4|2),(|1)=(|2)+(1|2)+(1*2|2)+(1*2*3|2)+(1*2*3*4|2),5,5,0,9.0,9.0,0.0,0.000353261
|1,5|2,1,(|1)+(5|1)=(5|2),(|1)=(|2)+(5|2),2,2,0,6.0,6.0,0.0,8.0201e-5
|1,1*5|2,2,(|1)=(|2)+(5|2)+(1*5|2),(|1)=(|2)+(1|2)+(1*5|2),3,3,0,7.0,7.0,0.0,0.00013441
|1,2*5|2,2,(|1)=(|2)+(5|2)+(2*5|2),(|1)=(|2)+(2|2)+(2*5|2),3,3,0,7.0,7.0,0.0,0.000137115
|1,3*5|2,2,(|1)=(|2)+(5|2)+(3*5|2),(|1)=(|2)+(3|2)+(3*5|2),3,3,0,7.0,7.0,0.0,0.000139578
|1,1*3*5|2,3,(|1)+(1|1)+(1*3|1)=(1*3|2)+(1*3*5|2),(|1)=(|2)+(1|2)+(1*3|2)+(1*3*5|2),4,4,0,8.0,8.0,0.0,0.000148964
