from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
3*4*5*8*11*14*15|1,1*3*8*13*14|1,-2,(3*4*5*8*11*14*15|1)+(3*4*5*8*11*13*14*15|1)+(3*4*5*6*8*11*13*14*15|1)>(3*6*8*13*15|1)-(3*6*8*13|1)-(3*8*13|1)+(1*3*8*13|1)+(1*3*8*13*14|1),(3*4*5*8*11*14*15|1)-(3*5*8*11*14*15|1)-(3*8*11*14*15|1)-(3*8*14*15|1)-(3*8*14|1)+(1*3*8*14|1)+(1*3*8*13*14|1),6,7,-1,14.0,10.1,3.9,0.08396869
1*4*6*8*14|1,2*8*9*11|1,-1,(1*4*6*8*14|1)+(1*2*4*6*8*14|1)+(1*2*4*6*8*9*14|1)>(1*2*6*8|1)+(1*2*6*8*9|1)-(1*2*8*9|1)-(2*8*9|1)+(2*8*9*11|1),(1*4*6*8*14|1)-(4*6*8*14|1)-(6*8*14|1)-(8*14|1)-(8|1)+(2*8|1)+(2*8*9|1)+(2*8*9*11|1),7,7,0,15.0,10.1,4.9,0.146254012
8*10*12*14*15|1,1*3*4*7*8*10*12*15|1,3,(8*10*12*14*15|1)+(7*8*10*12*14*15|1)>(7*8*10*12*15|1)+(1*7*8*10*12*15|1)+(1*3*7*8*10*12*15|1)+(1*3*4*7*8*10*12*15|1),(8*10*12*14*15|1)-(8*10*12*15|1)+(1*8*10*12*15|1)+(1*3*8*10*12*15|1)+(1*3*4*8*10*12*15|1)+(1*3*4*7*8*10*12*15|1),5,5,0,7.0,4.1,2.9,0.002834846
1*4*5*9*10*11*14|1,2*3*4*7*8*12|1,-1,(1*4*5*9*10*11*14|1)+(1*4*5*8*9*10*11*14|1)+(1*3*4*5*8*9*10*11*14|1)+(1*3*4*5*6*8*9*10*11*14|1)>(1*3*5*6*8*9*10*11|1)+(1*3*5*6*7*8*9*10*11|1)+(1*2*3*5*6*7*8*9*10*11|1)+(1*2*3*5*6*7*8*9*10*11*13|1)>(2*3*6*7*9*13|1)+(2*3*4*6*7*9*13|1)+(2*3*4*6*7*9*12*13|1)>(4*7*12|1)+(2*4*7*12|1)+(2*3*4*7*12|1)+(2*3*4*7*8*12|1),(1*4*5*9*10*11*14|1)-(4*5*9*10*11*14|1)-(4*9*10*11*14|1)-(4*10*11*14|1)-(4*11*14|1)-(4*14|1)-(4|1)+(2*4|1)+(2*3*4|1)+(2*3*4*7|1)+(2*3*4*7*8|1)+(2*3*4*7*8*12|1),11,14,-3,23.0,11.299999999999999,11.7,0.353960203
2*7*10*12*13|1,2*3*4*9*13*15|1,1,(2*7*10*12*13|1)+(2*3*7*10*12*13|1)+(2*3*7*10*12*13*15|1)+(2*3*7*10*12*13*14*15|1)>(2*3*10*13*15|1)+(2*3*4*10*13*15|1)-(2*3*4*13*15|1)+(2*3*4*9*13*15|1),(2*7*10*12*13|1)-(2*10*12*13|1)-(2*12*13|1)-(2*13|1)+(2*3*13|1)+(2*3*4*13|1)+(2*3*4*9*13|1)+(2*3*4*9*13*15|1),7,7,0,13.0,8.1,4.9,0.020082043
3*4*8*10*13*15|1,3*5*6*13*15|1,-1,(3*4*8*10*13*15|1)+(3*4*5*8*10*13*15|1)+(3*4*5*6*8*10*13*15|1)>(3*5*6*8*10*13*15|1)-(3*5*6*8*13*15|1)-(3*5*6*13*15|1),(3*4*8*10*13*15|1)-(3*8*10*13*15|1)-(3*10*13*15|1)-(3*13*15|1)+(3*5*13*15|1)+(3*5*6*13*15|1),5,5,0,11.0,8.1,2.9,0.023051385
6*7*9*10*12*15|1,1*2*8*10*12*13|1,0,(6*7*9*10*12*15|1)+(2*6*7*9*10*12*15|1)>(2*6*9*10*12*15|1)+(2*6*9*10*12*13*15|1)+(1*2*6*9*10*12*13*15|1)>(1*2*10*12*15|1)-(1*2*10*12|1)+(1*2*8*10*12|1)+(1*2*8*10*12*13|1),(6*7*9*10*12*15|1)-(7*9*10*12*15|1)-(9*10*12*15|1)-(10*12*15|1)-(10*12|1)+(1*10*12|1)+(1*2*10*12|1)+(1*2*8*10*12|1)+(1*2*8*10*12*13|1),8,8,0,16.0,8.2,7.8,0.014903011
3*13*14|1,1*2*4*5*7*8*10*12*14|1,6,(3*13*14|1)+(3*12*13*14|1)+(3*8*12*13*14|1)+(1*3*8*12*13*14|1)+(1*3*7*8*12*13*14|1)+(1*3*7*8*9*12*13*14|1)>(1*7*8*12|1)+(1*5*7*8*12|1)+(1*5*7*8*10*12|1)+(1*5*7*8*10*12*14|1)+(1*2*5*7*8*10*12*14|1)+(1*2*4*5*7*8*10*12*14|1),(3*13*14|1)-(13*14|1)-(14|1)+(1*14|1)+(1*2*14|1)+(1*2*4*14|1)+(1*2*4*5*14|1)+(1*2*4*5*7*14|1)+(1*2*4*5*7*8*14|1)+(1*2*4*5*7*8*10*14|1)+(1*2*4*5*7*8*10*12*14|1),10,11,-1,14.0,10.1,3.9,0.029842919
1*7*10*12|1,4*6*8*9*11|1,1,(1*7*10*12|1)+(1*6*7*10*12|1)+(1*6*7*9*10*12|1)+(1*6*7*9*10*11*12|1)+(1*6*7*9*10*11*12*13|1)>(6*9*13|1)-(6*9|1)+(4*6*9|1)+(4*6*8*9|1)+(4*6*8*9*11|1),(1*7*10*12|1)-(7*10*12|1)-(10*12|1)-(12|1)-(|1)+(4|1)+(4*6|1)+(4*6*8|1)+(4*6*8*9|1)+(4*6*8*9*11|1),9,9,0,17.0,10.1,6.9,0.059796011
1*4*7*8*12*15|1,1*3*5*10*13|1,-1,(1*4*7*8*12*15|1)+(1*3*4*7*8*12*15|1)+(1*3*4*7*8*10*12*15|1)+(1*3*4*5*7*8*10*12*15|1)-(1*3*4*5*7*10*12*15|1)>(1*3*5*10*15|1)-(1*3*5*10|1)+(1*3*5*10*13|1),(1*4*7*8*12*15|1)-(1*7*8*12*15|1)-(1*8*12*15|1)-(1*12*15|1)-(1*15|1)-(1|1)+(1*3|1)+(1*3*5|1)+(1*3*5*10|1)+(1*3*5*10*13|1),9,7,2,19.0,10.1,8.9,0.089151964
